2026-02-06 17:23:45,431,416,429.79,412.51,25774
2026-02-06 17:23:45,427,417,429.58,412.85,25814
2026-02-06 17:23:45,423,414,429.08,412.93,25854
2026-02-06 17:23:46,425,411,428.77,412.79,25894
2026-02-06 17:23:46,440,404,429.62,412.12,25934
2026-02-06 17:23:46,421,411,428.97,412.04,25974
2026-02-06 17:23:46,428,415,428.9,412.26,26014
2026-02-06 17:23:46,432,423,429.13,413.07,26054
2026-02-06 17:23:46,428,421,429.04,413.67,26094
2026-02-06 17:23:46,437,416,429.65,413.85,26134
2026-02-06 17:23:46,431,413,429.75,413.78,26174
2026-02-06 17:23:46,432,417,429.92,414.03,26214
2026-02-06 17:23:46,431,414,430.0,414.02,26254
2026-02-06 17:23:46,434,409,430.3,413.65,26294
2026-02-06 17:23:46,436,419,430.73,414.05,26334
2026-02-06 17:23:46,434,410,430.98,413.74,26374
2026-02-06 17:23:46,434,412,431.21,413.61,26414
2026-02-06 17:23:46,428,421,430.96,414.17,26454
2026-02-06 17:23:46,431,419,430.97,414.54,26494
2026-02-06 17:23:46,428,413,430.74,414.42,26534
2026-02-06 17:23:46,431,414,430.76,414.39,26574
2026-02-06 17:23:46,432,420,430.86,414.81,26614
2026-02-06 17:23:46,423,416,430.26,414.9,26654
2026-02-06 17:23:46,423,423,429.71,415.51,26694
2026-02-06 17:23:46,430,411,429.74,415.17,26734
2026-02-06 17:23:46,442,415,430.66,415.16,26774
2026-02-06 17:23:46,427,418,430.39,415.37,26814
2026-02-06 17:23:46,430,419,430.36,415.65,26854
2026-02-06 17:23:46,430,417,430.33,415.75,26894
2026-02-06 17:23:47,430,420,430.3,416.07,26934
2026-02-06 17:23:47,428,417,430.13,416.14,26974
2026-02-06 17:23:47,429,416,430.05,416.13,27014
2026-02-06 17:23:47,433,415,430.27,416.04,27054
2026-02-06 17:23:47,425,412,429.87,415.74,27094
2026-02-06 17:23:47,424,421,429.43,416.14,27134
2026-02-06 17:23:47,432,422,429.62,416.58,27174
2026-02-06 17:23:47,434,413,429.95,416.31,27214
2026-02-06 17:23:47,428,418,429.8,416.44,27254
2026-02-06 17:23:47,422,416,429.22,416.4,27294
2026-02-06 17:23:47,423,418,428.75,416.52,27334
2026-02-06 17:23:47,435,423,429.22,417.01,27374
2026-02-06 17:23:47,426,416,428.98,416.94,27414
